Age,Tenure,MonthlyCharges,TotalCharges,InternetService,Contract,PaymentMethod,Churn
56,32,94.6,3002.19,Fiber optic,One year,Bank transfer,Yes
69,9,78.34,729.43,Fiber optic,One year,Mailed check,Yes
46,19,116.22,2161.48,Fiber optic,One year,Bank transfer,Yes
32,48,57.49,2766.37,Fiber optic,Month-to-month,Bank transfer,No
60,3,48.57,171.96,DSL,One year,Mailed check,Yes
25,20,106.86,2174.87,DSL,Two year,Credit card,No
38,24,42.36,1000.84,DSL,Month-to-month,Electronic check,No
56,54,116.32,6313.53,DSL,Month-to-month,Credit card,No
36,33,21.22,661.17,DSL,Two year,Mailed check,Yes
40,24,116.99,2842.35,DSL,Month-to-month,Credit card,Yes
28,36,24.32,838.12,DSL,Two year,Bank transfer,No
28,38,109.11,4136.07,DSL,Month-to-month,Electronic check,No
41,25,72.77,1848.98,No,Month-to-month,Mailed check,No
53,18,119.3,2112.33,Fiber optic,Two year,Mailed check,No
57,66,27.38,1779.98,DSL,Month-to-month,Mailed check,Yes
41,54,75.39,4093.04,Fiber optic,Month-to-month,Electronic check,No
20,35,116.93,4114.56,DSL,Month-to-month,Bank transfer,No
39,61,72.31,4425.01,No,Month-to-month,Mailed check,Yes
19,41,82.94,3419.93,Fiber optic,Month-to-month,Credit card,No
41,33,89.57,2960.24,DSL,Month-to-month,Mailed check,No
61,68,65.45,4426.06,Fiber optic,Two year,Mailed check,No
47,33,82.76,2715.51,Fiber optic,Month-to-month,Mailed check,No
55,14,78.43,1066.2,No,One year,Mailed check,No
19,21,110.12,2353.28,Fiber optic,Month-to-month,Bank transfer,No
38,48,24.54,1186.48,Fiber optic,One year,Credit card,Yes
50,20,48.1,952.01,DSL,Month-to-month,Bank transfer,No
29,8,115.04,916.53,No,Two year,Credit card,No
39,7,109.03,807.91,DSL,Month-to-month,Mailed check,Yes
61,67,65.57,4358.24,No,Month-to-month,Electronic check,No
42,17,82.01,1402.85,Fiber optic,Month-to-month,Bank transfer,No
66,33,47.74,1575.95,Fiber optic,Month-to-month,Electronic check,No
44,48,38.81,1874.13,Fiber optic,Month-to-month,Bank transfer,No
59,59,66.37,3867.63,DSL,Month-to-month,Mailed check,No
45,22,55.34,1254.59,DSL,One year,Bank transfer,Yes
33,30,78.37,2394.18,DSL,Month-to-month,Mailed check,Yes
32,38,27.77,1061.9,DSL,Month-to-month,Bank transfer,Yes
64,51,117.44,6009.08,Fiber optic,One year,Mailed check,No
68,54,118.62,6447.79,DSL,One year,Mailed check,No
61,8,89.82,739.25,DSL,Month-to-month,Credit card,Yes
69,27,73.61,1952.71,No,Month-to-month,Mailed check,No
20,27,50.95,1383.35,Fiber optic,Month-to-month,Credit card,No
54,21,101.38,2139.64,No,One year,Mailed check,No
68,30,88.47,2646.61,No,One year,Electronic check,No
24,28,36.26,1038.97,DSL,Month-to-month,Mailed check,Yes
38,64,111.09,7153.37,DSL,One year,Electronic check,No
26,69,102.25,7098.06,Fiber optic,One year,Electronic check,No
56,61,114.98,7008.86,Fiber optic,Month-to-month,Mailed check,No
35,48,92.57,4404.78,DSL,Two year,Electronic check,No
21,19,81.34,1593.97,Fiber optic,Month-to-month,Credit card,No
42,4,61.82,281.19,DSL,Month-to-month,Bank transfer,No
31,35,113.27,3927.02,DSL,Month-to-month,Mailed check,Yes
67,64,106.61,6864.89,Fiber optic,Month-to-month,Electronic check,No
26,49,24.52,1238.56,Fiber optic,Month-to-month,Mailed check,No
43,17,22.64,386.71,Fiber optic,Two year,Credit card,No
19,44,57.65,2545.57,DSL,Month-to-month,Mailed check,Yes
37,30,101.06,3021.56,Fiber optic,Month-to-month,Mailed check,Yes
45,46,118.73,5416.95,DSL,Month-to-month,Electronic check,Yes
64,6,35.04,193.77,DSL,Two year,Credit card,No
24,37,79.41,2968.57,Fiber optic,Month-to-month,Bank transfer,No
61,24,58.09,1344.6,No,Month-to-month,Bank transfer,Yes
25,46,116.99,5364.96,Fiber optic,Month-to-month,Electronic check,No
64,53,104.21,5513.05,Fiber optic,Month-to-month,Mailed check,No
52,60,103.83,6233.71,Fiber optic,Two year,Electronic check,No
31,63,66.87,4254.75,Fiber optic,Two year,Electronic check,No
34,32,61.48,1952.06,DSL,Month-to-month,Electronic check,No
53,33,47.34,1546.94,Fiber optic,Two year,Mailed check,No
67,67,25.64,1741.47,DSL,One year,Credit card,Yes
57,18,106.47,1911.72,DSL,Two year,Electronic check,No
21,25,101.29,2504.71,Fiber optic,Month-to-month,Mailed check,No
19,54,119.97,6473.72,Fiber optic,Month-to-month,Credit card,No
23,58,119.66,6904.58,DSL,Month-to-month,Electronic check,No
59,67,75.54,5029.03,DSL,One year,Bank transfer,No
21,46,96.9,4457.18,Fiber optic,Month-to-month,Credit card,Yes
46,24,114.48,2739.33,DSL,Month-to-month,Electronic check,No
35,32,104.96,3400.36,Fiber optic,Month-to-month,Credit card,Yes
43,47,44.73,2088.78,Fiber optic,One year,Credit card,Yes
61,23,65.05,1504.31,Fiber optic,Month-to-month,Credit card,No
51,66,32.92,2185.68,Fiber optic,One year,Credit card,No
27,27,115.41,3067.25,Fiber optic,Two year,Credit card,Yes
53,2,80.62,177.59,DSL,Month-to-month,Credit card,No
31,17,42.86,696.5,Fiber optic,One year,Electronic check,No
48,33,87.17,2922.72,Fiber optic,Month-to-month,Bank transfer,Yes
65,9,81.81,701.18,DSL,Two year,Mailed check,No
32,43,55.82,2391.56,Fiber optic,Month-to-month,Credit card,No
25,48,31.36,1463.61,Fiber optic,One year,Mailed check,No
31,39,87.16,3448.82,Fiber optic,One year,Electronic check,Yes
40,42,72.03,3025.51,Fiber optic,Two year,Credit card,No
57,26,97.23,2537.57,Fiber optic,One year,Bank transfer,No
38,50,72.02,3557.53,Fiber optic,Month-to-month,Mailed check,No
33,25,105.22,2655.45,Fiber optic,One year,Credit card,Yes
62,24,75.19,1775.57,Fiber optic,Two year,Electronic check,No
35,13,76.09,1029.02,Fiber optic,Month-to-month,Bank transfer,Yes
64,60,107.67,6430.44,Fiber optic,Month-to-month,Mailed check,No
41,7,60.35,391.51,Fiber optic,Two year,Mailed check,Yes
43,57,33.4,1857.54,DSL,One year,Credit card,No
42,36,22.88,820.82,Fiber optic,One year,Bank transfer,No
62,45,95.51,4304.6,Fiber optic,Month-to-month,Bank transfer,No
58,20,82.03,1597.19,DSL,One year,Bank transfer,Yes
46,65,90.41,5904.07,Fiber optic,Month-to-month,Bank transfer,No
32,8,41.3,325.7,DSL,One year,Electronic check,No
62,16,33.64,540.63,DSL,Month-to-month,Bank transfer,No
18,14,21.45,294.44,Fiber optic,One year,Mailed check,No
42,15,55.06,815.96,DSL,Two year,Mailed check,No
24,66,78.99,5219.42,Fiber optic,Month-to-month,Electronic check,No
26,32,59.22,1860.7,Fiber optic,Two year,Mailed check,No
41,63,63.75,3984.28,Fiber optic,Month-to-month,Mailed check,No
18,51,110.42,5667.39,DSL,Two year,Bank transfer,No
61,25,54.83,1415.25,DSL,One year,Mailed check,No
25,58,71.4,4128.47,Fiber optic,Month-to-month,Electronic check,No
41,63,98.37,6174.09,No,One year,Bank transfer,Yes
28,62,59.65,3712.97,Fiber optic,Two year,Credit card,No
68,22,82.21,1799.46,DSL,Month-to-month,Bank transfer,No
34,58,106.24,6114.25,Fiber optic,Month-to-month,Electronic check,No
25,58,114.95,6632.83,Fiber optic,One year,Bank transfer,Yes
52,49,34.71,1722.26,Fiber optic,One year,Bank transfer,No
52,52,112.66,5874.15,DSL,One year,Electronic check,No
50,42,69.21,2859.6,Fiber optic,One year,Bank transfer,No
22,70,45.82,3179.91,Fiber optic,Month-to-month,Electronic check,Yes
59,15,65.91,961.81,No,One year,Electronic check,No
56,54,118.0,6389.37,DSL,Month-to-month,Credit card,No
58,60,69.26,4107.68,Fiber optic,Month-to-month,Mailed check,No
45,8,52.88,383.41,No,Month-to-month,Mailed check,No
24,53,83.34,4447.02,DSL,Month-to-month,Bank transfer,No
26,60,44.01,2608.73,No,Month-to-month,Bank transfer,No
25,5,27.59,153.21,Fiber optic,Month-to-month,Credit card,Yes
29,68,32.89,2210.2,DSL,One year,Credit card,No
51,6,32.8,156.77,DSL,Month-to-month,Credit card,No
50,47,35.19,1628.26,Fiber optic,Month-to-month,Electronic check,Yes
65,55,33.88,1885.78,DSL,Month-to-month,Credit card,Yes
40,40,84.09,3399.07,Fiber optic,Month-to-month,Credit card,No
41,52,38.19,2018.8,DSL,Month-to-month,Bank transfer,No
54,16,54.57,862.79,Fiber optic,Month-to-month,Credit card,No
52,13,109.68,1442.63,DSL,One year,Electronic check,No
61,30,67.4,1992.38,Fiber optic,One year,Electronic check,No
57,19,86.76,1627.67,No,One year,Bank transfer,No
39,17,37.23,672.58,No,Month-to-month,Credit card,Yes
44,63,39.23,2422.72,Fiber optic,Month-to-month,Credit card,No
52,19,24.09,416.2,DSL,Two year,Electronic check,No
18,58,36.89,2110.61,Fiber optic,Month-to-month,Credit card,Yes
52,55,47.86,2584.9,DSL,Month-to-month,Credit card,Yes
54,62,37.7,2305.61,DSL,Month-to-month,Credit card,No
64,23,28.87,672.32,DSL,Month-to-month,Mailed check,No
31,9,32.06,280.71,Fiber optic,Month-to-month,Bank transfer,No
20,12,66.08,832.2,Fiber optic,Month-to-month,Mailed check,No
18,1,40.63,72.38,Fiber optic,Month-to-month,Bank transfer,No
22,58,56.43,3256.95,Fiber optic,Month-to-month,Electronic check,No
43,1,70.34,46.28,DSL,One year,Credit card,No
31,34,89.04,3015.31,No,One year,Bank transfer,No
56,48,23.93,1157.73,Fiber optic,One year,Mailed check,Yes
44,1,99.94,76.75,Fiber optic,One year,Credit card,No
26,16,82.79,1337.06,DSL,Two year,Electronic check,No
32,61,28.18,1709.67,Fiber optic,Month-to-month,Bank transfer,No
32,64,107.36,6876.11,Fiber optic,Month-to-month,Bank transfer,No
43,63,112.09,7055.11,DSL,Month-to-month,Bank transfer,No
59,69,26.11,1780.88,DSL,One year,Credit card,Yes
30,22,47.69,1093.98,Fiber optic,Two year,Mailed check,No
68,67,100.62,6767.91,Fiber optic,Month-to-month,Mailed check,No
49,26,94.83,2429.49,DSL,Two year,Bank transfer,Yes
56,16,38.45,652.08,No,Month-to-month,Electronic check,Yes
66,51,40.93,2086.42,DSL,Two year,Electronic check,No
69,57,57.05,3291.15,Fiber optic,Month-to-month,Mailed check,Yes
49,29,68.45,2015.1,No,Month-to-month,Electronic check,No
21,69,81.83,5638.48,Fiber optic,Month-to-month,Mailed check,Yes
47,47,56.89,2626.14,Fiber optic,Month-to-month,Bank transfer,No
54,62,66.25,4084.58,DSL,Month-to-month,Mailed check,Yes
40,69,94.75,6541.71,DSL,Month-to-month,Mailed check,No
56,16,23.67,392.04,No,One year,Bank transfer,No
62,48,45.24,2147.49,Fiber optic,Month-to-month,Electronic check,No
32,39,91.33,3526.0,Fiber optic,Month-to-month,Mailed check,Yes
60,33,109.52,3647.68,DSL,One year,Mailed check,No
46,23,71.17,1685.3,DSL,One year,Bank transfer,No
53,10,73.21,734.68,DSL,Month-to-month,Electronic check,No
30,69,30.72,2086.65,Fiber optic,Month-to-month,Mailed check,Yes
49,34,64.74,2178.43,DSL,Month-to-month,Bank transfer,Yes
24,52,73.26,3761.45,Fiber optic,Month-to-month,Mailed check,No
68,10,44.25,483.9,Fiber optic,One year,Credit card,No
39,19,46.92,853.34,No,Month-to-month,Bank transfer,No
45,58,57.73,3355.9,DSL,Month-to-month,Electronic check,No
19,1,22.01,-0.59,Fiber optic,One year,Electronic check,No
59,69,52.21,3607.76,Fiber optic,Month-to-month,Electronic check,Yes
62,4,41.14,179.72,Fiber optic,Month-to-month,Electronic check,No
23,16,52.75,876.97,Fiber optic,Month-to-month,Mailed check,Yes
45,24,31.98,738.07,Fiber optic,Two year,Mailed check,No
45,2,109.05,169.21,Fiber optic,Month-to-month,Electronic check,No
61,32,79.36,2503.18,DSL,One year,Electronic check,No
61,24,87.91,2149.85,DSL,Month-to-month,Electronic check,Yes
37,12,98.92,1224.39,No,Month-to-month,Mailed check,Yes
47,50,69.84,3501.95,Fiber optic,One year,Electronic check,Yes
28,35,28.69,1014.27,Fiber optic,Two year,Electronic check,Yes
45,33,73.71,2448.96,Fiber optic,One year,Credit card,Yes
42,33,78.68,2564.11,DSL,One year,Credit card,No
56,61,94.54,5808.62,DSL,Two year,Electronic check,Yes
50,51,63.17,3213.34,Fiber optic,Month-to-month,Bank transfer,Yes
18,43,32.76,1396.91,Fiber optic,Month-to-month,Electronic check,No
44,12,48.38,582.42,DSL,One year,Credit card,No
69,67,56.31,3727.35,Fiber optic,Month-to-month,Bank transfer,No
30,65,84.59,5465.09,DSL,One year,Bank transfer,Yes
58,33,77.08,2567.37,Fiber optic,Two year,Electronic check,No
20,40,55.61,2182.67,DSL,Month-to-month,Credit card,Yes
56,43,118.65,5112.33,Fiber optic,Month-to-month,Credit card,Yes
23,44,80.58,3519.94,DSL,One year,Bank transfer,No
25,29,43.72,1256.89,Fiber optic,Month-to-month,Electronic check,Yes
44,13,30.18,371.19,DSL,One year,Mailed check,No
26,12,35.29,409.0,DSL,Month-to-month,Mailed check,No
54,46,44.6,2073.31,DSL,One year,Credit card,No
50,2,36.07,51.85,Fiber optic,Month-to-month,Mailed check,No
68,35,38.66,1359.63,Fiber optic,One year,Credit card,Yes
59,8,48.51,385.68,DSL,Month-to-month,Credit card,No
61,26,37.34,987.14,Fiber optic,Month-to-month,Credit card,No
41,34,109.68,3772.69,Fiber optic,Month-to-month,Mailed check,No
32,7,28.02,219.42,Fiber optic,One year,Credit card,No
49,68,72.45,4898.17,DSL,Two year,Bank transfer,Yes
49,58,61.04,3493.42,Fiber optic,Month-to-month,Electronic check,No
41,29,118.24,3405.12,DSL,Month-to-month,Electronic check,Yes
58,36,31.2,1132.85,DSL,Month-to-month,Credit card,No
69,21,59.79,1210.64,No,One year,Electronic check,No
66,36,116.95,4209.73,DSL,One year,Mailed check,Yes
66,10,106.55,1075.19,Fiber optic,Month-to-month,Mailed check,No
69,24,101.71,2424.4,Fiber optic,Month-to-month,Electronic check,Yes
29,64,45.79,2957.67,Fiber optic,Month-to-month,Mailed check,No
56,49,37.09,1778.01,Fiber optic,Month-to-month,Electronic check,No
19,36,86.86,3084.63,DSL,Month-to-month,Electronic check,No
20,24,112.94,2733.32,DSL,Two year,Electronic check,No
66,23,75.68,1740.1,Fiber optic,Month-to-month,Credit card,No
54,62,77.16,4802.84,DSL,One year,Electronic check,Yes
66,37,48.0,1769.41,DSL,Month-to-month,Credit card,Yes
34,12,96.95,1138.03,DSL,Month-to-month,Electronic check,Yes
66,55,38.7,2160.65,DSL,One year,Electronic check,Yes
19,13,52.37,710.72,DSL,One year,Electronic check,No
19,23,62.54,1457.97,DSL,Two year,Mailed check,No
45,30,70.76,2100.05,Fiber optic,Month-to-month,Credit card,No
40,17,44.24,761.12,Fiber optic,Month-to-month,Credit card,Yes
54,62,31.48,1938.09,Fiber optic,One year,Electronic check,No
49,13,81.06,1012.96,DSL,Month-to-month,Electronic check,No
50,59,48.86,2924.65,DSL,Month-to-month,Mailed check,Yes
18,19,78.12,1448.03,DSL,Month-to-month,Mailed check,No
36,49,35.44,1781.4,Fiber optic,Month-to-month,Mailed check,No
19,12,68.11,811.97,Fiber optic,Two year,Credit card,Yes
61,61,73.26,4437.31,DSL,Month-to-month,Credit card,No
43,19,25.18,482.65,No,Month-to-month,Credit card,No
49,9,53.66,520.24,DSL,Month-to-month,Electronic check,Yes
23,71,33.44,2397.57,Fiber optic,Month-to-month,Credit card,No
49,28,26.34,768.11,Fiber optic,Month-to-month,Bank transfer,No
21,52,119.0,6203.67,Fiber optic,Month-to-month,Bank transfer,No
28,16,52.24,854.99,Fiber optic,Month-to-month,Mailed check,No
34,69,100.99,7003.05,Fiber optic,One year,Credit card,No
55,12,45.46,520.54,DSL,Month-to-month,Bank transfer,No
41,25,88.15,2202.7,Fiber optic,Month-to-month,Mailed check,No
22,52,96.02,4965.31,DSL,Two year,Credit card,Yes
69,53,79.56,4265.65,Fiber optic,One year,Electronic check,No
51,23,67.16,1589.03,Fiber optic,Month-to-month,Bank transfer,No
23,16,61.18,932.89,Fiber optic,Month-to-month,Electronic check,No
39,57,54.89,3149.11,Fiber optic,Month-to-month,Credit card,Yes
28,39,112.95,4447.69,Fiber optic,One year,Bank transfer,No
65,53,103.06,5430.34,Fiber optic,Two year,Credit card,Yes
33,42,116.5,4899.91,Fiber optic,One year,Electronic check,Yes
50,58,32.43,1922.47,DSL,Month-to-month,Bank transfer,Yes
26,39,93.09,3583.78,DSL,One year,Electronic check,No
23,14,113.83,1613.42,DSL,Month-to-month,Credit card,No
33,5,38.12,170.35,DSL,Month-to-month,Credit card,No
46,35,26.65,975.18,Fiber optic,Month-to-month,Electronic check,Yes
20,18,94.11,1741.12,DSL,Two year,Bank transfer,No
37,9,77.45,741.45,No,Month-to-month,Electronic check,No
53,58,104.18,6040.03,DSL,One year,Credit card,No
36,17,33.98,613.82,DSL,Month-to-month,Electronic check,Yes
43,7,99.53,731.14,Fiber optic,Month-to-month,Credit card,No
20,46,40.16,1829.4,Fiber optic,Month-to-month,Electronic check,No
36,13,36.37,505.64,Fiber optic,Month-to-month,Bank transfer,No
37,40,36.43,1410.76,Fiber optic,One year,Bank transfer,Yes
49,42,101.46,4270.84,Fiber optic,Month-to-month,Electronic check,Yes
24,9,86.52,751.68,DSL,One year,Electronic check,No
69,50,72.31,3577.38,No,One year,Bank transfer,No
58,27,55.88,1466.54,No,Two year,Credit card,No
50,66,107.72,7129.15,Fiber optic,Month-to-month,Bank transfer,No
57,5,59.24,280.21,DSL,Month-to-month,Credit card,Yes
56,29,101.66,2970.62,Fiber optic,Month-to-month,Electronic check,No
35,37,63.91,2321.33,DSL,Two year,Electronic check,No
57,38,57.69,2173.92,DSL,Two year,Credit card,No
18,8,66.27,534.09,DSL,Month-to-month,Electronic check,No
28,65,50.14,3288.03,Fiber optic,One year,Credit card,No
45,17,94.76,1592.81,Fiber optic,Month-to-month,Mailed check,Yes
42,71,70.27,5001.9,Fiber optic,One year,Bank transfer,No
67,45,43.22,1983.55,Fiber optic,Month-to-month,Mailed check,Yes
40,4,109.96,451.42,Fiber optic,One year,Credit card,No
48,36,58.39,2075.3,DSL,Month-to-month,Bank transfer,No
47,70,74.36,5157.31,DSL,One year,Credit card,No
59,31,110.65,3467.07,No,One year,Bank transfer,No
52,19,82.42,1518.18,DSL,One year,Bank transfer,No
24,61,31.69,1970.55,Fiber optic,Month-to-month,Bank transfer,No
33,54,113.98,6157.99,Fiber optic,Month-to-month,Bank transfer,No
43,39,82.77,3271.97,Fiber optic,Month-to-month,Credit card,Yes
65,19,53.49,1046.2,Fiber optic,Month-to-month,Bank transfer,No
69,39,33.93,1372.95,Fiber optic,Month-to-month,Bank transfer,No
66,67,99.4,6645.04,Fiber optic,Two year,Mailed check,No
19,45,82.01,3717.05,No,Month-to-month,Electronic check,No
18,13,73.35,943.69,Fiber optic,Month-to-month,Electronic check,No
65,58,109.39,6342.56,DSL,Month-to-month,Mailed check,Yes
29,20,98.86,1989.94,Fiber optic,Month-to-month,Mailed check,No
22,61,35.17,2182.58,No,One year,Credit card,Yes
54,39,51.17,2044.12,DSL,Month-to-month,Credit card,Yes
